author,datasets_cited,num_datasets
"Simon L. Homölle, Robert Oostenveld","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005406,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",115
"Ramón Martínez-Cancino, Arnaud Delorme, Dung Truong, Fiorenzo Artoni, Kenneth Kreutz-Delgado, Subhashini Sivagnanam, Kenneth K. Yoshimoto, Amitava Majumdar, Scott Makeig","nm000103,nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on000117,on002718,on002778,on003029,on003392,on003498,on003703,on003876,on003922,on004012,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005505,on005506,on005507,on005508,on005511,on005515,on005594,on005620,on005624,on005810,on005857,on006035,on006126,on006386,on006629,on006720,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007523,on007524,on007615,on007895,on008701",144
"Haijie Liu, Penghu Wei, Haochong Wang, Xiaodong Lv, Wei Duan, Meijie Li, Yan Zhao, Qingmei Wang, Xinyuan Chen, Gaige Shi, Bo Han, Junwei Hao","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000137,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000158,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000267,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000323,nm000329,nm000338,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005406,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",122
"Cyril R Pernet, Ramón Martínez-Cancino, Dung Truong, Scott Makeig, Arnaud Delorme","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on000117,on002718,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008701",117
"Kyungho Won, Moonyoung Kwon, Minkyu Ahn, Sung Chan Jun","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000126,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000323,nm000329,nm000338,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005406,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",120
"Xuelin Ma, Shuang Qiu, Huiguang He","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000173,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005406,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",118
"Moritz M. Nickel, Laura Tiemann, Vanessa D. Hohn, Elisabeth S. May, Cristina Gil Ávila, Falk Eippert, Markus Ploner","nm000121,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000142,nm000143,nm000157,nm000168,nm000170,nm000174,nm000180,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000212,nm000213,nm000218,nm000219,nm000222,nm000223,nm000231,nm000234,nm000236,nm000239,nm000240,nm000242,nm000244,nm000247,nm000257,nm000259,nm000262,nm000265,nm000269,nm000301,nm000310,nm000313,nm000321,nm000339,nm000340,nm000343,nm000351,on004324,on004395,on004951,on005307,on005403,on005406,on005620,on007058,on007454,on007895,on008701",66
"Katharina Glomb, Joana Cabral, Anna Cattani, Alberto Mazzoni, Ashish Raj, Benedetta Franceschiello","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000146,nm000148,nm000151,nm000157,nm000166,nm000167,nm000168,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005406,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",112
"Sherona Garrett-Ruffin, Alexandra Cowden Hindash, Antonia N. Kaczkurkin, Ryan P. Mears, Santiago Omar Caballero Morales, Katharina Paul, Yuri G. Pavlov, Andreas Keil","nm000132,nm000136,nm000157,nm000168,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000200,nm000202,nm000204,nm000205,nm000207,nm000208,nm000210,nm000212,nm000213,nm000218,nm000221,nm000222,nm000223,nm000231,nm000244,nm000247,nm000259,nm000262,nm000269,nm000301,nm000313,nm000321,nm000329,nm000339,nm000340,nm000343,nm000351,on002778,on004012,on004346,on004395,on004998,on005307,on005594,on005857,on006386,on006629,on006840,on007058,on007895",50
"Giulia Lioi, Claire Cury, Lorraine Perronnet, Marsel Mano, Élise Bannier, Anatole Lécuyer, Christian Barillot","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005406,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",117
"Alessio Bellato, Luke J. Norman, Iman Idrees, Carolina Yuri Ogawa, Alice E. Waitt, Pedro Fonseca Zuccolo, Charlotte Tye, Joaquim Raduà, Madeleine Jane Groom, Elizabeth Shephard","nm000115,nm000121,nm000123,nm000124,nm000130,nm000131,nm000136,nm000141,nm000142,nm000144,nm000146,nm000148,nm000157,nm000166,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000240,nm000242,nm000247,nm000257,nm000259,nm000262,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005594,on005620,on005857,on006126,on006386,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008701",91
"Melissa Jane Polonenko, Ross K. Maddox","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000140,nm000141,nm000142,nm000143,nm000144,nm000146,nm000148,nm000157,nm000166,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000231,nm000234,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on004324,on004395,on004541,on004951,on005307,on005403,on005594,on005620,on005857,on006126,on006386,on007058,on007169,on007172,on007262,on007358,on007454,on007615,on007895,on008701",103
"Estelle Hervé, Giovanni Mento, Béatrice Desnous, François Clément","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on003392,on003703,on003922,on004012,on004324,on004346,on004395,on004541,on004951,on004998,on005241,on005261,on005307,on005403,on005406,on005594,on005620,on005810,on005857,on006035,on006126,on006386,on006629,on006720,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007523,on007524,on007615,on007895,on008465,on008701",131
"Martin Agge Nørgaard, Granville James Matheson, Hanne Demant Hansen, Adam G. Thomas, Graham E. Searle, Gaia Rizzo, Mattia Veronese, Alessio Giacomel, Maqsood M. Yaqub, Mattéo Tonietto, Thomas Funck, Ashley Gillman, Hugo Boniface, Alexandre Routier, Jelle R. Dalenberg, Tobey J. Betthauser, Franklin W. Feingold, Christopher Johnson Markiewicz, Krzysztof J. Gorgolewski, Ross W. Blair, Stefan Appelhoff, Rémi Gau, Taylor Salo, Guiomar Niso, Cyril R Pernet, Christophe L. M. Phillips, Robert Oostenveld, Jean‐Dominique Gallezot, Richard E. Carson, Gitte M. Knudsen, Robert B. Innis, Melanie Ganz","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on003029,on003352,on003392,on003498,on003703,on003876,on003922,on004012,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005594,on005620,on005624,on005810,on005857,on006035,on006126,on006386,on006629,on006720,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008701",134
"Elisabeth S. May, Cristina Gil Ávila, Son Ta Dinh, Henrik Heitmann, Vanessa D. Hohn, Moritz M. Nickel, Laura Tiemann, Thomas Rudolf Tölle, Markus Ploner","nm000121,nm000123,nm000124,nm000125,nm000128,nm000130,nm000136,nm000157,nm000166,nm000168,nm000179,nm000181,nm000184,nm000186,nm000187,nm000191,nm000194,nm000197,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000210,nm000212,nm000213,nm000218,nm000221,nm000222,nm000223,nm000231,nm000234,nm000236,nm000239,nm000240,nm000247,nm000262,nm000265,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004395,on004541,on004951,on005307,on005620,on005857,on006126,on006386,on007058,on007169,on007172,on007338,on007358,on007454,on007615,on007895,on008701",70
"Yulin Wang, Wei Duan, Debo Dong, Lihong Ding, Xu Lei","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004148,on004324,on004395,on004541,on004951,on005307,on005403,on005406,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",118
"Pavel Prado, Agustina Birba, Josefina Cruzat, Hernando A Santamaría‐García, Mario A. Parra, Sebastián Moguilner, Enzo Tagliazucchi, Agustín M. Ibáñez","nm000103,nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000146,nm000148,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004118,on004119,on004324,on004395,on004541,on004951,on005307,on005403,on005505,on005506,on005507,on005508,on005511,on005515,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008701",121
"Jonathan Dan, Una Pale, Alireza Amirshahi, William Cappelletti, Thorir Mar Ingolfsson, Xiaying Wang, Andrea Cossettini, Adriano Bernini, Luca Benini, Sándor Beniczky, David Atienza, Philippe Ryvlin","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005406,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",113
"Pragathi Priyadharsini Balasubramani, Alejandro Ojeda, Gillian Grennan, Vojislav Maric, Hortense Le, Fahad Alim, Mariam Zafar-Khan, Juan Diaz-Delgado, Sarita Silveira, Dhakshin Ramanathan, Jyoti Mishra","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on004324,on004395,on004541,on004951,on005307,on005403,on005406,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008465,on008701",116
"Yunbo Tang, Dan Chen, Xiaoli Li","nm000115,nm000121,nm000122,nm000124,nm000125,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on003392,on003703,on003922,on004012,on004324,on004346,on004395,on004541,on004951,on004998,on005241,on005261,on005307,on005403,on005406,on005594,on005620,on005810,on005857,on006035,on006126,on006386,on006629,on006720,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007523,on007615,on007895,on008465,on008701",126
"Klaus Gramann, Ryan D. McKendrick, Carryl L. Baldwin, Raphaëlle N. Roy, Camille Jeunet, Ranjana K. Mehta, Giovanni Vecchiato","nm000115,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000157,nm000167,nm000168,nm000170,nm000174,nm000184,nm000186,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000205,nm000209,nm000212,nm000218,nm000219,nm000222,nm000227,nm000237,nm000242,nm000245,nm000246,nm000247,nm000257,nm000262,nm000265,nm000269,nm000301,nm000313,nm000321,nm000329,nm000339,nm000340,nm000343,nm000348,nm000351,on003846,on004951,on006840,on007169,on007262,on007454",55
"Sahar Shokrpour, AmirMehdi MoghadamFarid, Sepideh Bazzaz Abkenar, Mostafa Haghi Kashani, Mohammad Kazem Akbari, Mostafa Sarvizadeh","nm000157,nm000169,nm000181,nm000186,nm000187,nm000191,nm000197,nm000200,nm000201,nm000207,nm000210,nm000218,nm000231,nm000252,nm000259,nm000262,nm000269,nm000301,nm000313,nm000321,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on005307,on007169,on007262",29
"Qawi K. Telesford, Eduardo Gonzalez-Moreira, Ting Xu, Yiwen Tian, Stanley J. Colcombe, Jessica Cloud, Brian Edward Russ, Arnaud Falchier, Maximilian Nentwich, Jens Madsen, Lucas C. Parra, Charles E. Schroeder, Michael Peter Milham, Alexandre R. Franco","nm000115,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000144,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on002778,on004324,on004395,on004541,on004951,on005307,on005403,on005594,on005620,on005857,on006126,on006386,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007895,on008701",115
